#TYPE System.IO.DirectoryInfo
"PSPath";"PSParentPath";"PSChildName";"PSDrive";"PSProvider";"PSIsContainer";"Mode";"BaseName";"Target";"LinkType";"Name";"FullName";"Parent";"Exists";"Root";"Extension";"CreationTime";"CreationTimeUtc";"LastAccessTime";"LastAccessTimeUtc";"LastWriteTime";"LastWriteTimeUtc";"Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\.vscode";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";".vscode";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";".vscode";"System.Collections.Generic.List`1[System.String]";;".vscode";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\.vscode";"Grundlagen-Programmierung_Powershell";"True";"C:\";".vscode";"20.03.2023 15:03:08";"20.03.2023 14:03:08";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"20.03.2023 15:03:08";"20.03.2023 14:03:08";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\01 Varibalen";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"01 Varibalen";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"01 Varibalen";"System.Collections.Generic.List`1[System.String]";;"01 Varibalen";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\01 Varibalen";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"16.05.2022 14:23:26";"16.05.2022 12:23:26";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"05.12.2023 07:49:36";"05.12.2023 06:49:36";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\02 Kontrollstrukturen";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"02 Kontrollstrukturen";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"02 Kontrollstrukturen";"System.Collections.Generic.List`1[System.String]";;"02 Kontrollstrukturen";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\02 Kontrollstrukturen";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"16.05.2022 14:23:26";"16.05.2022 12:23:26";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"19.01.2024 07:35:10";"19.01.2024 06:35:10";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\03 Schleifen";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"03 Schleifen";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"03 Schleifen";"System.Collections.Generic.List`1[System.String]";;"03 Schleifen";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\03 Schleifen";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"16.05.2022 14:23:26";"16.05.2022 12:23:26";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"24.04.2024 08:56:04";"24.04.2024 06:56:04";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\04 Komplexe Datentypen";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"04 Komplexe Datentypen";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"04 Komplexe Datentypen";"System.Collections.Generic.List`1[System.String]";;"04 Komplexe Datentypen";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\04 Komplexe Datentypen";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"16.05.2022 14:23:26";"16.05.2022 12:23:26";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"03.05.2024 10:38:23";"03.05.2024 08:38:23";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\05 Funktionen";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"05 Funktionen";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"05 Funktionen";"System.Collections.Generic.List`1[System.String]";;"05 Funktionen";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\05 Funktionen";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"16.05.2022 14:23:26";"16.05.2022 12:23:26";"14.06.2024 11:46:36";"14.06.2024 09:46:36";"14.06.2024 11:46:36";"14.06.2024 09:46:36";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\06 Gesamtwiederholung";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"06 Gesamtwiederholung";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"d----l";"06 Gesamtwiederholung";"System.Collections.Generic.List`1[System.String]";;"06 Gesamtwiederholung";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\06 Gesamtwiederholung";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"25.07.2022 10:55:37";"25.07.2022 08:55:37";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"11.09.2023 07:07:16";"11.09.2023 05:07:16";"Directory, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\07 Arbeiten Dateisystem";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"07 Arbeiten Dateisystem";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"da---l";"07 Arbeiten Dateisystem";"System.Collections.Generic.List`1[System.String]";;"07 Arbeiten Dateisystem";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\07 Arbeiten Dateisystem";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"23.06.2022 09:36:15";"23.06.2022 07:36:15";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"29.06.2022 11:05:39";"29.06.2022 09:05:39";"Directory, Archive, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\08 OOP";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"08 OOP";"C";"Microsoft.PowerShell.Core\FileSystem";"True";"d----l";"08 OOP";"System.Collections.Generic.List`1[System.String]";;"08 OOP";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\08 OOP";"Grundlagen-Programmierung_Powershell";"True";"C:\";"";"29.06.2022 11:05:19";"29.06.2022 09:05:19";"14.06.2024 10:50:49";"14.06.2024 08:50:49";"17.07.2023 10:52:09";"17.07.2023 08:52:09";"Directory, ReparsePoint"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\Dateien.csv";"Microsoft.PowerShell.Core\FileSystem::C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell";"Dateien.csv";"C";"Microsoft.PowerShell.Core\FileSystem";"False";"-a----";"Dateien";"System.Collections.Generic.List`1[System.String]";;"Dateien.csv";"C:\Users\Zobel\OneDrive - Klara-Oppenheimer-Schule\Meine Unterlagen\Informatik\Code\Grundlagen-Programmierung_Powershell\Dateien.csv";;"True";;".csv";"14.06.2024 11:48:37";"14.06.2024 09:48:37";"14.06.2024 11:48:42";"14.06.2024 09:48:42";"14.06.2024 11:48:42";"14.06.2024 09:48:42";"Archive"
